Time(s),ECG(mV),BP(mmHg),EEG (C4-A1)(mV),Resp (sum)(l)
0.0,0.085,47.93021026501848,-0.039191290824261274,-0.2608695652173913
0.004,0.08,47.72090803678696,-0.038880248833592534,-0.26666666666666666
0.008,0.125,47.93021026501848,-0.038569206842923795,-0.2608695652173913
0.012,0.17,47.72090803678696,-0.039346811819595644,-0.2710144927536232
0.016,0.23,47.302303580323915,-0.03530326594090202,-0.26521739130434785
0.02,0.34,46.88369912386087,-0.02534992223950233,-0.27246376811594203
0.024,0.485,46.88369912386087,-0.016485225505443235,-0.2797101449275362
0.028,0.7,46.67439689562935,-0.006687402799377916,-0.2971014492753623
0.032,0.855,46.25579243916631,-0.0018662519440124418,-0.2971014492753623
0.036,0.92,46.25579243916631,-0.0018662519440124418,-0.3072463768115942
0.04,0.705,46.046490210934785,-0.007465007776049767,-0.3072463768115942
0.044,0.4,45.41858352624022,-0.018506998444790045,-0.3159420289855073
0.048,0.03,45.62788575447174,-0.028926905132192846,-0.3115942028985507
0.052,-0.245,45.2092812980087,-0.03234836702954899,-0.3188405797101449
0.056,-0.36,45.41858352624022,-0.0328149300155521,-0.30869565217391304
0.06,-0.355,44.999979069777176,-0.026749611197511663,-0.2971014492753623
0.064,-0.24,45.2092812980087,-0.019129082426127528,-0.3072463768115942
0.068,-0.125,44.58137461331413,-0.017884914463452566,-0.3115942028985507
0.072,-0.065,44.58137461331413,-0.017573872472783827,-0.3101449275362319
0.076,-0.03,44.58137461331413,-0.013063763608087092,-0.3173913043478261
0.08,0.015,44.58137461331413,-0.01104199066874028,-0.33043478260869563
0.084,0.055,44.58137461331413,-0.0119751166407465,-0.34347826086956523
0.088,0.08,44.790676841545654,-0.013996889580093312,-0.34782608695652173
0.092,0.085,43.95346792861957,-0.016796267496111975,-0.3521739130434783
0.096,0.075,44.16277015685109,-0.02379471228615863,-0.3536231884057971
0.1,0.07,43.95346792861957,-0.028149300155520994,-0.34347826086956523
0.104,0.08,43.744165700388045,-0.031415241057542766,-0.34347826086956523
0.108,0.08,43.53486347215652,-0.03716951788491446,-0.32753623188405795
0.112,0.09,43.744165700388045,-0.04354587869362364,-0.336231884057971
0.116,0.095,43.325561243925,-0.04727838258164852,-0.33043478260869563
0.12,0.095,43.744165700388045,-0.04727838258164852,-0.34202898550724636
0.124,0.09,43.325561243925,-0.04852255054432349,-0.34202898550724636
0.128,0.095,42.90695678746196,-0.047900466562986,-0.3536231884057971
0.132,0.095,42.697654559230436,-0.04774494556765163,-0.35942028985507246
0.136,0.11,42.90695678746196,-0.04432348367029549,-0.37971014492753624
0.14,0.1,42.488352330998914,-0.04307931570762053,-0.3782608695652174
0.144,0.1,42.90695678746196,-0.039502332814930013,-0.3782608695652174
0.148,0.115,42.27905010276739,-0.03654743390357698,-0.35942028985507246
0.152,0.115,42.697654559230436,-0.031570762052877135,-0.3652173913043478
0.156,0.1,42.27905010276739,-0.029237947122861586,-0.3652173913043478
0.16,0.115,42.488352330998914,-0.02317262830482115,-0.36666666666666664
0.164,0.11,42.27905010276739,-0.016796267496111975,-0.3652173913043478
0.168,0.12,42.697654559230436,-0.015241057542768274,-0.3739130434782609
0.172,0.115,42.27905010276739,-0.012597200622083981,-0.3710144927536232
0.176,0.11,42.27905010276739,-0.007153965785381027,-0.37971014492753624
0.18,0.125,42.06974787453587,-0.001244167962674961,-0.4
0.184,0.125,42.27905010276739,0.00015552099533437013,-0.39855072463768115
0.188,0.14,41.86044564630435,0.0018662519440124418,-0.4057971014492754
0.192,0.135,42.06974787453587,0.0017107309486780716,-0.4072463768115942
0.196,0.135,41.232538961609784,0.0006220839813374805,-0.40144927536231884
0.2,0.155,41.65114341807283,-0.00015552099533437013,-0.40869565217391307
0.204,0.14,42.06974787453587,-0.0009331259720062209,-0.39420289855072466
0.208,0.155,41.232538961609784,-0.003110419906687403,-0.391304347826087
0.212,0.16,41.86044564630435,-0.008709175738724729,-0.4115942028985507
0.216,0.16,41.02323673337826,-0.010575427682737169,-0.39710144927536234
0.22,0.175,41.441841189841305,-0.012441679626749611,-0.4115942028985507
0.224,0.18,41.441841189841305,-0.014152410575427682,-0.4217391304347826
0.228,0.185,42.06974787453587,-0.015396578538102643,-0.43043478260869567
