Time(s),BP(mmHg)
0.0,47.93021026501848
0.004,47.72090803678696
0.008,47.93021026501848
0.012,47.72090803678696
0.016,47.302303580323915
0.02,46.88369912386087
0.024,46.88369912386087
0.028,46.67439689562935
0.032,46.25579243916631
0.036,46.25579243916631
0.04,46.046490210934785
0.044,45.41858352624022
0.048,45.62788575447174
0.052,45.2092812980087
0.056,45.41858352624022
0.06,44.999979069777176
0.064,45.2092812980087
0.068,44.58137461331413
0.072,44.58137461331413
0.076,44.58137461331413
0.08,44.58137461331413
0.084,44.58137461331413
0.088,44.790676841545654
0.092,43.95346792861957
0.096,44.16277015685109
0.1,43.95346792861957
0.104,43.744165700388045
0.108,43.53486347215652
0.112,43.744165700388045
0.116,43.325561243925
0.12,43.744165700388045
0.124,43.325561243925
0.128,42.90695678746196
0.132,42.697654559230436
0.136,42.90695678746196
0.14,42.488352330998914
0.144,42.90695678746196
0.148,42.27905010276739
0.152,42.697654559230436
0.156,42.27905010276739
0.16,42.488352330998914
0.164,42.27905010276739
0.168,42.697654559230436
0.172,42.27905010276739
0.176,42.27905010276739
0.18,42.06974787453587
0.184,42.27905010276739
0.188,41.86044564630435
0.192,42.06974787453587
0.196,41.232538961609784
0.2,41.65114341807283
0.204,42.06974787453587
0.208,41.232538961609784
0.212,41.86044564630435
0.216,41.02323673337826
0.22,41.441841189841305
0.224,41.441841189841305
0.228,42.06974787453587
0.232,42.90695678746196
0.236,44.58137461331413
0.24,45.62788575447174
0.244,47.51160580855544
0.248,49.604628090870655
0.252,51.906952601417395
0.256,53.99997488373261
0.26,56.30229939427935
0.264,59.023228361289135
0.268,62.16276178476196
0.272,65.09299298000326
0.276,67.60461971878152
0.28,71.16275759871739
0.284,74.0929887939587
0.288,77.65112667389457
0.292,80.99996232559891
0.296,84.34879797730326
0.3,88.11623808547066
0.304,91.465073737175
0.308,93.97670047595327
0.312,97.32553612765761
0.316,99.62786063820435
0.32,101.51158069228805
0.324,103.18599851814022
0.328,104.8604163439924
0.332,105.69762525691849
0.336,105.69762525691849
0.34,105.90692748515
0.344,105.90692748515
0.348,105.27902080045544
0.352,104.65111411576088
0.356,103.18599851814022
0.36,102.13948737698261
0.364,100.88367400759348
0.368,99.83716286643588
0.372,98.79065172527827
0.376,96.2790249865
0.38,94.81390938887935
0.384,93.55809601949022
0.388,92.09298042186957
0.392,89.79065591132283
0.396,88.95344699839674
0.4,87.48833140077609
0.404,86.23251803138696
0.408,84.7674024337663
0.412,83.09298460791413
0.416,81.62786901029348
0.42,80.58135786913587
0.424,79.32554449974674
0.428,78.06973113035761
0.432,76.39531330450544
0.436,75.55810439157935
0.44,74.72089547865326
0.444,73.04647765280109
0.448,72.83717542456957
0.452,71.79066428341196
0.456,70.53485091402283
0.46,70.11624645755978
0.464,68.86043308817065
0.468,68.23252640347609
0.472,67.60461971878152
0.476,66.97671303408696
0.48,65.5115974364663
0.484,65.5115974364663
0.488,64.4650862953087
0.492,63.837179610614136
0.496,62.99997069768805
0.5,62.372064012993484
0.504,61.95345955653044
0.508,61.325552871835875
0.512,60.69764618714131
0.516,59.86043727421522
0.52,58.81392613305761
0.524,58.81392613305761
0.528,58.18601944836305
0.532,57.55811276366848
0.536,57.34881053543696
0.54,57.13950830720544
0.544,56.720903850742395
0.548,56.09299716604783
0.552,56.09299716604783
0.556,55.67439270958479
0.56,55.25578825312174
0.564,55.04648602489022
0.568,54.8371837966587
0.572,54.8371837966587
0.576,54.418579340195656
0.58,54.62788156842718
0.584,54.418579340195656
0.588,54.62788156842718
0.592,53.99997488373261
0.596,54.209277111964134
0.6,54.418579340195656
0.604,54.209277111964134
0.608,54.209277111964134
0.612,54.62788156842718
0.616,54.418579340195656
0.62,54.8371837966587
0.624,55.04648602489022
0.628,55.25578825312174
0.632,55.88369493781631
0.636,55.67439270958479
0.64,56.30229939427935
0.644,56.30229939427935
0.648,56.511601622510874
0.652,56.93020607897392
0.656,57.767414991900004
0.66,57.13950830720544
0.664,57.767414991900004
0.668,57.976717220131526
0.672,58.39532167659457
0.676,57.976717220131526
0.68,58.81392613305761
0.684,58.39532167659457
0.688,59.023228361289135
0.692,58.60462390482609
0.696,58.81392613305761
0.7,58.81392613305761
0.704,59.44183281775218
0.708,58.81392613305761
0.712,59.44183281775218
0.716,59.6511350459837
0.72,59.44183281775218
0.724,59.6511350459837
0.728,59.6511350459837
0.732,59.6511350459837
0.736,59.23253058952066
0.74,59.44183281775218
0.744,59.44183281775218
0.748,59.023228361289135
0.752,59.023228361289135
0.756,59.44183281775218
0.76,59.023228361289135
0.764,58.60462390482609
0.768,59.023228361289135
0.772,58.60462390482609
0.776,58.18601944836305
0.78,58.39532167659457
0.784,57.976717220131526
0.788,57.976717220131526
0.792,57.34881053543696
0.796,57.13950830720544
0.8,57.13950830720544
0.804,56.720903850742395
0.808,56.511601622510874
0.812,56.30229939427935
0.816,55.67439270958479
0.82,55.465090481353265
0.824,55.465090481353265
0.828,54.8371837966587
0.832,54.62788156842718
0.836,54.418579340195656
0.84,54.418579340195656
0.844,53.37206819903805
0.848,53.37206819903805
0.852,52.953463742575
0.856,52.953463742575
0.86,52.32555705788044
0.864,52.116254829648916
0.868,51.69765037318587
0.872,51.69765037318587
0.876,51.06974368849131
0.88,51.06974368849131
0.884,51.06974368849131
0.888,50.44183700379674
0.892,50.0232325473337
0.896,49.604628090870655
0.9,50.23253477556522
0.904,49.604628090870655
0.908,49.39532586263913
0.912,48.97672140617609
0.916,48.76741917794457
0.92,48.76741917794457
0.924,48.558116949713046
0.928,47.93021026501848
0.932,48.13951249325
0.936,47.93021026501848
0.94,47.51160580855544
0.944,47.093001352092394
0.948,46.25579243916631
0.952,46.88369912386087
0.956,46.88369912386087
0.96,46.46509466739783
0.964,46.046490210934785
0.968,46.46509466739783
0.972,46.25579243916631
0.976,46.25579243916631
0.98,45.41858352624022
0.984,45.62788575447174
0.988,45.41858352624022
0.992,45.2092812980087
0.996,45.2092812980087
1.0,44.999979069777176
1.004,44.999979069777176
1.008,44.999979069777176
1.012,44.58137461331413
1.016,44.58137461331413
1.02,44.58137461331413
1.024,44.37207238508261
1.028,44.58137461331413
1.032,44.37207238508261
1.036,43.95346792861957
1.04,44.37207238508261
1.044,43.744165700388045
1.048,43.744165700388045
1.052,43.744165700388045
1.056,43.744165700388045
1.06,43.744165700388045
1.064,43.53486347215652
1.068,43.744165700388045
1.072,43.325561243925
1.076,43.11625901569348
1.08,42.90695678746196
1.084,43.11625901569348
1.088,42.90695678746196
1.092,42.697654559230436
1.096,42.697654559230436
1.1,42.697654559230436
1.104,42.90695678746196
1.108,42.488352330998914
1.112,42.06974787453587
1.116,42.90695678746196
1.12,42.697654559230436
1.124,43.744165700388045
1.128,44.58137461331413
1.132,45.41858352624022
1.136,47.51160580855544
1.14,48.97672140617609
1.144,51.27904591672283
1.148,53.79067265550109
1.152,56.09299716604783
1.156,58.81392613305761
1.16,61.325552871835875
1.164,64.25578406707717
1.168,67.60461971878152
1.172,70.74415314225435
1.176,73.88368656572717
1.18,76.81391776096848
1.184,80.58135786913587
1.188,84.13949574907174
1.192,87.90693585723913
1.196,91.25577150894348
1.2,93.97670047595327
1.204,97.32553612765761
1.208,99.83716286643588
1.212,102.34878960521414
1.216,104.44181188752935
1.22,106.11622971338153
1.224,107.16274085453914
1.228,108.20925199569675
1.232,108.20925199569675
1.236,108.62785645215979
1.24,108.20925199569675
1.244,107.7906475392337
1.248,106.53483416984457
1.252,105.90692748515
1.256,104.8604163439924
1.26,103.39530074637175
1.264,102.13948737698261
1.268,100.88367400759348
1.272,99.20925618174131
1.276,97.74414058412066
1.28,96.48832721473153
1.284,94.60460716064783
1.288,93.3487937912587
1.292,91.25577150894348
1.296,89.99995813955435
1.3,88.74414477016522
1.304,87.27902917254457
1.308,86.02321580315544
1.312,84.7674024337663
1.316,83.30228683614565
1.32,81.837171238525
1.324,80.7906600973674
1.328,79.53484672797826
1.332,78.27903335858913
1.336,77.65112667389457
1.34,76.39531330450544
1.344,75.55810439157935
1.348,74.72089547865326
1.352,74.30229102219022
1.356,72.83717542456957
1.36,72.62787319633804
