Time(s),ECG(mV)
0.0,0.085
0.004,0.08
0.008,0.125
0.012,0.17
0.016,0.23
0.02,0.34
0.024,0.485
0.028,0.7
0.032,0.855
0.036,0.92
0.04,0.705
0.044,0.4
0.048,0.03
0.052,-0.245
0.056,-0.36
0.06,-0.355
0.064,-0.24
0.068,-0.125
0.072,-0.065
0.076,-0.03
0.08,0.015
0.084,0.055
0.088,0.08
0.092,0.085
0.096,0.075
0.1,0.07
0.104,0.08
0.108,0.08
0.112,0.09
0.116,0.095
0.12,0.095
0.124,0.09
0.128,0.095
0.132,0.095
0.136,0.11
0.14,0.1
0.144,0.1
0.148,0.115
0.152,0.115
0.156,0.1
0.16,0.115
0.164,0.11
0.168,0.12
0.172,0.115
0.176,0.11
0.18,0.125
0.184,0.125
0.188,0.14
0.192,0.135
0.196,0.135
0.2,0.155
0.204,0.14
0.208,0.155
0.212,0.16
0.216,0.16
0.22,0.175
0.224,0.18
0.228,0.185
0.232,0.18
0.236,0.195
0.24,0.185
0.244,0.215
0.248,0.21
0.252,0.225
0.256,0.22
0.26,0.22
0.264,0.22
0.268,0.24
0.272,0.235
0.276,0.245
0.28,0.24
0.284,0.255
0.288,0.24
0.292,0.24
0.296,0.235
0.3,0.22
0.304,0.21
0.308,0.21
0.312,0.2
0.316,0.205
0.32,0.185
0.324,0.165
0.328,0.165
0.332,0.14
0.336,0.12
0.34,0.115
0.344,0.09
0.348,0.085
0.352,0.06
0.356,0.05
0.36,0.03
0.364,0.03
0.368,0.04
0.372,0.015
0.376,0.005
0.38,0.015
0.384,-0.0
0.388,0.005
0.392,-0.0
0.396,-0.0
0.4,-0.0
0.404,-0.0
0.408,-0.005
0.412,-0.0
0.416,0.02
0.42,-0.0
0.424,-0.0
0.428,-0.0
0.432,-0.0
0.436,0.005
0.44,0.02
0.444,0.005
0.448,0.005
0.452,0.02
0.456,0.015
0.46,0.01
0.464,0.02
0.468,0.025
0.472,0.02
0.476,0.025
0.48,0.025
0.484,0.04
0.488,0.045
0.492,0.03
0.496,0.035
0.5,0.04
0.504,0.04
0.508,0.05
0.512,0.055
0.516,0.06
0.52,0.045
0.524,0.05
0.528,0.055
0.532,0.045
0.536,0.055
0.54,0.06
0.544,0.05
0.548,0.055
0.552,0.045
0.556,0.06
0.56,0.045
0.564,0.055
0.568,0.05
0.572,0.065
0.576,0.06
0.58,0.06
0.584,0.08
0.588,0.06
0.592,0.06
0.596,0.07
0.6,0.07
0.604,0.07
0.608,0.06
0.612,0.075
0.616,0.08
0.62,0.08
0.624,0.075
0.628,0.08
0.632,0.08
0.636,0.07
0.64,0.07
0.644,0.06
0.648,0.08
0.652,0.08
0.656,0.075
0.66,0.08
0.664,0.08
0.668,0.06
0.672,0.065
0.676,0.08
0.68,0.06
0.684,0.07
0.688,0.06
0.692,0.085
0.696,0.07
0.7,0.085
0.704,0.065
0.708,0.095
0.712,0.075
0.716,0.1
0.72,0.08
0.724,0.075
0.728,0.075
0.732,0.085
0.736,0.1
0.74,0.095
0.744,0.085
0.748,0.11
0.752,0.09
0.756,0.095
0.76,0.1
0.764,0.09
0.768,0.105
0.772,0.115
0.776,0.14
0.78,0.125
0.784,0.125
0.788,0.12
0.792,0.115
0.796,0.115
0.8,0.125
0.804,0.105
0.808,0.105
0.812,0.09
0.816,0.1
0.82,0.08
0.824,0.09
0.828,0.07
0.832,0.08
0.836,0.065
