Time(s),EEG (C4-A1)(mV)
0.0,-0.039191290824261274
0.004,-0.038880248833592534
0.008,-0.038569206842923795
0.012,-0.039346811819595644
0.016,-0.03530326594090202
0.02,-0.02534992223950233
0.024,-0.016485225505443235
0.028,-0.006687402799377916
0.032,-0.0018662519440124418
0.036,-0.0018662519440124418
0.04,-0.007465007776049767
0.044,-0.018506998444790045
0.048,-0.028926905132192846
0.052,-0.03234836702954899
0.056,-0.0328149300155521
0.06,-0.026749611197511663
0.064,-0.019129082426127528
0.068,-0.017884914463452566
0.072,-0.017573872472783827
0.076,-0.013063763608087092
0.08,-0.01104199066874028
0.084,-0.0119751166407465
0.088,-0.013996889580093312
0.092,-0.016796267496111975
0.096,-0.02379471228615863
0.1,-0.028149300155520994
0.104,-0.031415241057542766
0.108,-0.03716951788491446
0.112,-0.04354587869362364
0.116,-0.04727838258164852
0.12,-0.04727838258164852
0.124,-0.04852255054432349
0.128,-0.047900466562986
0.132,-0.04774494556765163
0.136,-0.04432348367029549
0.14,-0.04307931570762053
0.144,-0.039502332814930013
0.148,-0.03654743390357698
0.152,-0.031570762052877135
0.156,-0.029237947122861586
0.16,-0.02317262830482115
0.164,-0.016796267496111975
0.168,-0.015241057542768274
0.172,-0.012597200622083981
0.176,-0.007153965785381027
0.18,-0.001244167962674961
0.184,0.00015552099533437013
0.188,0.0018662519440124418
0.192,0.0017107309486780716
0.196,0.0006220839813374805
0.2,-0.00015552099533437013
0.204,-0.0009331259720062209
0.208,-0.003110419906687403
0.212,-0.008709175738724729
0.216,-0.010575427682737169
0.22,-0.012441679626749611
0.224,-0.014152410575427682
0.228,-0.015396578538102643
0.232,-0.016485225505443235
0.236,-0.016796267496111975
0.24,-0.015707620528771383
0.244,-0.017418351477449457
0.248,-0.015085536547433904
0.252,-0.012286158631415241
0.256,-0.012441679626749611
0.26,-0.008087091757387248
0.264,-0.004510108864696734
0.268,-0.004043545878693624
0.272,-0.0038880248833592537
0.276,-0.00031104199066874026
0.28,0.0027993779160186624
0.284,0.0018662519440124418
0.288,0.003421461897356143
0.292,0.0037325038880248835
0.296,-0.0
0.3,0.0013996889580093312
0.304,0.0007776049766718507
0.308,-0.00046656298600311044
0.312,-0.005598755832037325
0.316,-0.009486780715396579
0.32,-0.01135303265940902
0.324,-0.014152410575427682
0.328,-0.018040435458786936
0.332,-0.023017107309486782
0.336,-0.027216174183514776
0.34,-0.031726283048211505
0.344,-0.03390357698289269
0.348,-0.03576982892690513
0.352,-0.03670295489891135
0.356,-0.03996889580093312
0.36,-0.042146189735614306
0.364,-0.04370139968895801
0.368,-0.04774494556765163
0.372,-0.05194401244167963
0.376,-0.05116640746500778
0.38,-0.05194401244167963
0.384,-0.05567651632970451
0.388,-0.05474339035769829
0.392,-0.05583203732503888
0.396,-0.05241057542768274
0.4,-0.05054432348367029
0.404,-0.04447900466562986
0.408,-0.04136858475894246
0.412,-0.04059097978227061
0.416,-0.037791601866251946
0.42,-0.03452566096423017
0.424,-0.03312597200622084
0.428,-0.03297045101088647
0.432,-0.031726283048211505
0.436,-0.03234836702954899
0.44,-0.03265940902021773
0.444,-0.0328149300155521
0.448,-0.03219284603421462
0.452,-0.031415241057542766
0.456,-0.034681181959564544
0.46,-0.031415241057542766
0.464,-0.029860031104199068
0.468,-0.030171073094867808
0.472,-0.030482115085536547
0.476,-0.026594090202177293
0.48,-0.02255054432348367
0.484,-0.022861586314152412
