Time(s),Resp (sum)(l)
0.0,-0.2608695652173913
0.004,-0.26666666666666666
0.008,-0.2608695652173913
0.012,-0.2710144927536232
0.016,-0.26521739130434785
0.02,-0.27246376811594203
0.024,-0.2797101449275362
0.028,-0.2971014492753623
0.032,-0.2971014492753623
0.036,-0.3072463768115942
0.04,-0.3072463768115942
0.044,-0.3159420289855073
0.048,-0.3115942028985507
0.052,-0.3188405797101449
0.056,-0.30869565217391304
0.06,-0.2971014492753623
0.064,-0.3072463768115942
0.068,-0.3115942028985507
0.072,-0.3101449275362319
0.076,-0.3173913043478261
0.08,-0.33043478260869563
0.084,-0.34347826086956523
0.088,-0.34782608695652173
0.092,-0.3521739130434783
0.096,-0.3536231884057971
0.1,-0.34347826086956523
0.104,-0.34347826086956523
0.108,-0.32753623188405795
0.112,-0.336231884057971
0.116,-0.33043478260869563
0.12,-0.34202898550724636
0.124,-0.34202898550724636
0.128,-0.3536231884057971
0.132,-0.35942028985507246
0.136,-0.37971014492753624
0.14,-0.3782608695652174
0.144,-0.3782608695652174
0.148,-0.35942028985507246
0.152,-0.3652173913043478
0.156,-0.3652173913043478
0.16,-0.36666666666666664
0.164,-0.3652173913043478
0.168,-0.3739130434782609
0.172,-0.3710144927536232
0.176,-0.37971014492753624
0.18,-0.4
0.184,-0.39855072463768115
0.188,-0.4057971014492754
0.192,-0.4072463768115942
0.196,-0.40144927536231884
0.2,-0.40869565217391307
0.204,-0.39420289855072466
0.208,-0.391304347826087
0.212,-0.4115942028985507
0.216,-0.39710144927536234
0.22,-0.4115942028985507
0.224,-0.4217391304347826
0.228,-0.43043478260869567
0.232,-0.43623188405797103
0.236,-0.4420289855072464
0.24,-0.43623188405797103
0.244,-0.45072463768115945
0.248,-0.4246376811594203
0.252,-0.44782608695652176
0.256,-0.41884057971014493
0.26,-0.4449275362318841
0.264,-0.42318840579710143
0.268,-0.4405797101449275
0.272,-0.4405797101449275
0.276,-0.4463768115942029
0.28,-0.45507246376811594
0.284,-0.463768115942029
0.288,-0.4405797101449275
0.292,-0.45652173913043476
0.296,-0.4405797101449275
0.3,-0.4391304347826087
0.304,-0.43623188405797103
0.308,-0.43043478260869567
0.312,-0.43043478260869567
0.316,-0.4449275362318841
0.32,-0.4463768115942029
0.324,-0.4463768115942029
0.328,-0.45942028985507244
0.332,-0.45652173913043476
0.336,-0.46956521739130436
0.34,-0.4579710144927536
0.344,-0.4826086956521739
0.348,-0.46956521739130436
0.352,-0.4782608695652174
0.356,-0.45507246376811594
0.36,-0.4666666666666667
0.364,-0.48695652173913045
0.368,-0.4681159420289855
0.372,-0.4956521739130435
0.376,-0.48985507246376814
0.38,-0.5101449275362319
0.384,-0.5159420289855072
0.388,-0.5014492753623189
0.392,-0.5
0.396,-0.5159420289855072
0.4,-0.5014492753623189
0.404,-0.48695652173913045
0.408,-0.4985507246376812
0.412,-0.5231884057971015
0.416,-0.4985507246376812
0.42,-0.5072463768115942
0.424,-0.5231884057971015
0.428,-0.5318840579710145
0.432,-0.5391304347826087
0.436,-0.5391304347826087
0.44,-0.5289855072463768
0.444,-0.5362318840579711
0.448,-0.5217391304347826
0.452,-0.5318840579710145
0.456,-0.5333333333333333
0.46,-0.5362318840579711
0.464,-0.5449275362318841
0.468,-0.5420289855072464
0.472,-0.5623188405797102
0.476,-0.5666666666666667
0.48,-0.5594202898550724
0.484,-0.5608695652173913
0.488,-0.572463768115942
0.492,-0.5739130434782609
0.496,-0.5681159420289855
0.5,-0.5507246376811594
0.504,-0.5550724637681159
0.508,-0.5463768115942029
0.512,-0.5579710144927537
0.516,-0.5681159420289855
0.52,-0.5956521739130435
0.524,-0.5797101449275363
0.528,-0.6
0.532,-0.6086956521739131
0.536,-0.6028985507246377
0.54,-0.6
0.544,-0.5811594202898551
0.548,-0.6
0.552,-0.5855072463768116
0.556,-0.591304347826087
0.56,-0.6086956521739131
0.564,-0.6
0.568,-0.6202898550724638
0.572,-0.6115942028985507
0.576,-0.6144927536231884
0.58,-0.6463768115942029
0.584,-0.644927536231884
0.588,-0.6318840579710145
0.592,-0.6217391304347826
0.596,-0.636231884057971
0.6,-0.6318840579710145
0.604,-0.6260869565217392
0.608,-0.6289855072463768
0.612,-0.6565217391304348
0.616,-0.6550724637681159
0.62,-0.6840579710144927
0.624,-0.6768115942028986
0.628,-0.6898550724637681
0.632,-0.6666666666666666
0.636,-0.6855072463768116
0.64,-0.6782608695652174
0.644,-0.6898550724637681
0.648,-0.6739130434782609
0.652,-0.6898550724637681
0.656,-0.6666666666666666
0.66,-0.6826086956521739
0.664,-0.6695652173913044
0.668,-0.7014492753623188
0.672,-0.7101449275362319
0.676,-0.7188405797101449
0.68,-0.7304347826086957
0.684,-0.7101449275362319
0.688,-0.7420289855072464
0.692,-0.6956521739130435
0.696,-0.736231884057971
0.7,-0.6956521739130435
0.704,-0.736231884057971
0.708,-0.7014492753623188
0.712,-0.7434782608695653
0.716,-0.7144927536231884
0.72,-0.755072463768116
0.724,-0.7463768115942029
0.728,-0.7652173913043478
0.732,-0.755072463768116
0.736,-0.7434782608695653
0.74,-0.7405797101449275
0.744,-0.755072463768116
0.748,-0.7188405797101449
0.752,-0.755072463768116
0.756,-0.7420289855072464
0.76,-0.7246376811594203
0.764,-0.7492753623188406
0.768,-0.7666666666666667
0.772,-0.7652173913043478
0.776,-0.7565217391304347
0.78,-0.7681159420289855
0.784,-0.7695652173913043
0.788,-0.7695652173913043
0.792,-0.7710144927536232
0.796,-0.7536231884057971
0.8,-0.7507246376811594
0.804,-0.7666666666666667
0.808,-0.7608695652173914
0.812,-0.782608695652174
0.816,-0.7797101449275362
0.82,-0.7942028985507247
0.824,-0.7898550724637681
0.828,-0.7956521739130434
0.832,-0.7768115942028986
0.836,-0.7840579710144927
0.84,-0.782608695652174
0.844,-0.782608695652174
0.848,-0.7782608695652173
0.852,-0.7782608695652173
0.856,-0.7797101449275362
0.86,-0.782608695652174
0.864,-0.7855072463768116
0.868,-0.7884057971014493
0.872,-0.7797101449275362
0.876,-0.7898550724637681
0.88,-0.7797101449275362
0.884,-0.7782608695652173
0.888,-0.7739130434782608
0.892,-0.7666666666666667
0.896,-0.7710144927536232
0.9,-0.7681159420289855
0.904,-0.7753623188405797
0.908,-0.7608695652173914
0.912,-0.7652173913043478
0.916,-0.7768115942028986
0.92,-0.7884057971014493
0.924,-0.7695652173913043
0.928,-0.7869565217391304
0.932,-0.7782608695652173
0.936,-0.7942028985507247
0.94,-0.7768115942028986
0.944,-0.7710144927536232
0.948,-0.7666666666666667
0.952,-0.7739130434782608
0.956,-0.7797101449275362
0.96,-0.7855072463768116
0.964,-0.7811594202898551
0.968,-0.8
0.972,-0.7884057971014493
0.976,-0.8043478260869565
0.98,-0.8014492753623188
0.984,-0.7884057971014493
0.988,-0.7768115942028986
0.992,-0.763768115942029
0.996,-0.7652173913043478
1.0,-0.7536231884057971
1.004,-0.7710144927536232
1.008,-0.7710144927536232
1.012,-0.7898550724637681
1.016,-0.7985507246376812
1.02,-0.8057971014492754
1.024,-0.7942028985507247
1.028,-0.7898550724637681
1.032,-0.7840579710144927
