Time(s),ECG(mV),BP(mmHg),EEG (C4-A1)(mV),Resp (sum)(l)
0.0,-0.0,81.41856678206196,-0.006220839813374806,0.2
0.004,-0.0,80.58135786913587,-0.008242612752721618,0.19420289855072465
0.008,0.01,78.9069400432837,-0.006998444790046656,0.19855072463768117
0.012,0.015,77.65112667389457,-0.005443234836702955,0.18840579710144928
0.016,0.025,76.39531330450544,-0.004043545878693624,0.2144927536231884
0.02,0.015,75.34880216334783,-0.00031104199066874026,0.19710144927536233
0.024,0.025,74.0929887939587,0.0035769828926905133,0.20144927536231885
0.028,0.02,73.46508210926413,0.006220839813374806,0.2
0.032,0.03,72.41857096810652,0.00933125972006221,0.19710144927536233
0.036,0.025,71.37205982694891,0.016640746500777605,0.18115942028985507
0.04,0.03,70.53485091402283,0.024883359253499222,0.17101449275362318
0.044,0.035,70.11624645755978,0.027527216174183515,0.16666666666666666
0.048,0.025,68.86043308817065,0.029237947122861586,0.1681159420289855
0.052,0.04,68.02322417524456,0.03359253499222395,0.16231884057971013
0.056,0.04,67.39531749055,0.03639191290824261,0.16666666666666666
0.06,0.03,67.18601526231848,0.03685847589424572,0.1681159420289855
0.064,0.05,66.34880634939239,0.039191290824261274,0.16231884057971013
0.068,0.045,65.5115974364663,0.03639191290824261,0.17391304347826086
0.072,0.04,64.67438852354022,0.03110419906687403,0.16666666666666666
0.076,0.04,64.25578406707717,0.027993779160186624,0.17391304347826086
0.08,0.05,63.41857515415109,0.024883359253499222,0.16521739130434782
0.084,0.045,62.581366241225005,0.0208398133748056,0.1492753623188406
0.088,0.045,62.16276178476196,0.017573872472783827,0.1391304347826087
0.092,0.04,61.325552871835875,0.014930015552099534,0.13623188405797101
0.096,0.045,61.11625064360435,0.015241057542768274,0.13333333333333333
0.1,0.055,60.69764618714131,0.015552099533437015,0.14057971014492754
0.104,0.05,60.279041730678266,0.016018662519440126,0.1246376811594203
0.108,0.035,59.44183281775218,0.014463452566096423,0.13623188405797101
0.112,0.04,58.81392613305761,0.016640746500777605,0.13333333333333333
0.116,0.055,59.023228361289135,0.018351477449455676,0.1391304347826087
0.12,0.06,59.023228361289135,0.0208398133748056,0.1318840579710145
0.124,0.06,57.767414991900004,0.024883359253499222,0.1246376811594203
0.128,0.04,57.34881053543696,0.027838258164852255,0.11304347826086956
0.132,0.06,56.93020607897392,0.027838258164852255,0.10434782608695652
0.136,0.03,56.30229939427935,0.0343701399688958,0.09710144927536232
0.14,0.04,56.30229939427935,0.042301710730948676,0.0927536231884058
0.144,0.055,56.30229939427935,0.04432348367029549,0.08115942028985507
0.148,0.045,55.88369493781631,0.04836702954898912,0.08550724637681159
0.152,0.06,55.465090481353265,0.05287713841368585,0.08695652173913043
0.156,0.055,55.04648602489022,0.05598755832037325,0.08840579710144927
0.16,0.06,55.67439270958479,0.0594090202177294,0.09710144927536232
0.164,0.055,55.465090481353265,0.06298600311041991,0.0927536231884058
0.168,0.065,55.465090481353265,0.06283048211508553,0.1
0.172,0.045,54.8371837966587,0.05909797822706065,0.08985507246376812
0.176,0.05,55.04648602489022,0.05723172628304821,0.09420289855072464
0.18,0.045,55.67439270958479,0.05583203732503888,0.08260869565217391
0.184,0.045,55.465090481353265,0.05069984447900466,0.08115942028985507
0.188,0.045,56.30229939427935,0.04494556765163297,0.06376811594202898
0.192,0.05,55.465090481353265,0.038880248833592534,0.06376811594202898
0.196,0.04,55.67439270958479,0.03421461897356143,0.04927536231884058
0.2,0.06,56.30229939427935,0.030171073094867808,0.057971014492753624
0.204,0.05,56.30229939427935,0.0255054432348367,0.04782608695652174
0.208,0.05,56.30229939427935,0.02192846034214619,0.06231884057971015
0.212,0.06,56.93020607897392,0.02021772939346812,0.05507246376811594
0.216,0.06,57.13950830720544,0.018506998444790045,0.07101449275362319
0.22,0.06,57.13950830720544,0.018818040435458788,0.05507246376811594
0.224,0.06,57.34881053543696,0.02177293934681182,0.04492753623188406
0.228,0.07,57.13950830720544,0.023017107309486782,0.034782608695652174
0.232,0.065,57.976717220131526,0.023017107309486782,0.028985507246376812
0.236,0.06,57.976717220131526,0.028304821150855364,0.028985507246376812
0.24,0.08,58.18601944836305,0.03328149300155521,0.013043478260869565
0.244,0.075,57.976717220131526,0.034836702954898914,-0.004347826086956522
0.248,0.07,58.60462390482609,0.03608087091757387,-0.008695652173913044
0.252,0.07,58.81392613305761,0.038258164852255055,0.0014492753623188406
